,age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,gender,capital_gain,capital_loss,hours_per_week,native_country,income_bracket
0,34,Private,114874,Bachelors,13,Divorced,Sales,Unmarried,White,Female,0,0,50,United-States,<=50K
1,52,Private,118799,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,>50K
2,35,Private,161126,11th,7,Divorced,Exec-managerial,Unmarried,White,Male,0,0,40,United-States,<=50K
3,33,Private,103481,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,>50K
4,55,Private,169711,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,45,Germany,<=50K
5,67,?,271807,12th,8,Married-civ-spouse,?,Husband,Black,Male,0,0,45,United-States,<=50K
6,42,?,119098,Assoc-voc,11,Married-civ-spouse,?,Wife,White,Female,0,0,15,United-States,>50K
7,70,?,102130,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,5013,0,80,United-States,<=50K
8,76,?,60093,HS-grad,9,Married-civ-spouse,?,Wife,White,Male,3325,0,35,United-States,<=50K
9,31,Local-gov,188069,Masters,14,Married-civ-spouse,?,Wife,White,Female,0,0,5,United-States,<=50K
10,31,?,255693,Bachelors,13,Married-civ-spouse,?,Wife,White,Female,0,0,2,United-States,>50K
11,18,?,81781,11th,7,Never-married,?,Own-child,White,Female,0,0,8,United-States,<=50K
12,25,Private,107231,Some-college,10,Separated,Sales,Unmarried,White,Male,0,0,55,United-States,<=50K
13,17,Private,172032,11th,7,Never-married,Sales,Own-child,White,Female,0,0,33,United-States,<=50K
14,34,Private,167140,HS-grad,9,Separated,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
15,37,Private,389857,11th,7,Married-civ-spouse,Protective-serv,Wife,Black,Female,0,0,40,United-States,<=50K
16,40,Private,398019,Some-college,10,Never-married,Adm-clerical,Unmarried,White,Male,0,0,40,Mexico,>50K
17,19,Private,318452,12th,8,Never-married,Adm-clerical,Own-child,White,Male,0,0,16,United-States,<=50K
18,48,Private,54243,HS-grad,9,Widowed,Adm-clerical,Unmarried,Black,Female,0,0,45,United-States,<=50K
19,23,?,112584,Some-college,10,Never-married,?,Not-in-family,White,Male,0,0,48,United-States,<=50K
20,40,Private,161142,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,30,United-States,<=50K
21,46,Private,184973,Some-college,10,Divorced,Tech-support,Unmarried,White,Female,0,0,40,United-States,<=50K
22,56,Private,128092,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1902,40,United-States,>50K
23,49,Private,325353,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
24,49,Private,148626,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,32,United-States,>50K
25,46,Private,190027,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,24,United-States,>50K
26,34,Local-gov,297248,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,38,United-States,<=50K
27,46,Private,291037,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K
28,37,Local-gov,196227,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,<=50K
29,41,Private,140011,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
30,52,Private,248094,12th,8,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,>50K
31,28,Private,282389,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,1485,40,United-States,>50K
32,23,Private,30759,Some-college,10,Never-married,Sales,Other-relative,White,Male,0,0,30,United-States,<=50K
33,30,Private,207415,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,White,Male,0,0,40,United-States,<=50K
34,31,Private,270889,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,50,United-States,<=50K
35,23,Private,176055,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,0,0,18,United-States,<=50K
36,32,Private,143058,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,99,United-States,<=50K
37,76,Private,108435,Some-college,10,Widowed,Prof-specialty,Unmarried,White,Female,0,0,25,United-States,<=50K
38,55,Private,178429,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Male,2174,0,35,United-States,<=50K
39,18,Private,143299,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,35,United-States,<=50K
40,55,Private,185407,Some-college,10,Divorced,Handlers-cleaners,Unmarried,White,Female,0,0,40,United-States,<=50K
41,49,Private,93557,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Female,0,0,16,United-States,<=50K
42,34,Private,354095,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,40,United-States,>50K
43,27,Private,80960,HS-grad,9,Never-married,Exec-managerial,Other-relative,White,Male,0,0,70,United-States,<=50K
44,36,Private,208881,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
45,42,Private,180362,Doctorate,16,Divorced,Exec-managerial,Not-in-family,White,Male,15024,0,44,United-States,>50K
46,51,Private,204226,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,>50K
47,46,State-gov,237920,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,>50K
48,23,Private,211391,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
49,37,Private,162238,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,45,United-States,<=50K
50,48,Private,430283,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
51,47,Private,349116,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,>50K
52,40,Private,173243,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,5178,0,60,United-States,>50K
53,20,Private,177057,Bachelors,13,Never-married,Adm-clerical,Other-relative,Black,Female,0,0,8,United-States,<=50K
54,38,?,261899,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
55,28,Private,167261,10th,6,Separated,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
56,43,?,183597,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,Germany,<=50K
57,29,Private,211570,Doctorate,16,Never-married,Prof-specialty,Own-child,White,Male,0,0,60,United-States,<=50K
58,42,Private,76845,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,>50K
59,26,Private,186573,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
60,33,Private,101027,Bachelors,13,Never-married,Transport-moving,Own-child,Black,Male,0,0,40,United-States,<=50K
61,17,Private,223447,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,1740,40,Canada,<=50K
62,21,Private,342633,11th,7,Never-married,Adm-clerical,Own-child,White,Female,0,1740,41,United-States,<=50K
63,20,Private,315321,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,0,60,United-States,<=50K
64,28,Private,112896,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,15,United-States,>50K
65,39,Private,272529,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,16,United-States,<=50K
66,35,Private,130436,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,15024,0,45,United-States,>50K
67,37,Federal-gov,180985,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,64,United-States,>50K
68,32,State-gov,188246,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
69,30,Private,226985,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,35,United-States,<=50K
70,51,Private,351974,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,15024,0,46,United-States,>50K
71,36,State-gov,381583,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,36,United-States,>50K
72,33,Private,99434,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,55,United-States,>50K
73,31,Private,30529,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K
74,42,Local-gov,509364,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
75,25,Private,82375,Assoc-acdm,12,Never-married,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K
76,53,Private,253060,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
77,18,Private,310316,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,24,Mexico,<=50K
78,33,Private,291755,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
79,40,Private,195199,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,White,Female,0,0,40,United-States,<=50K
80,43,Local-gov,220115,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,30,United-States,<=50K
81,25,Private,136985,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Female,0,0,30,?,<=50K
82,25,Private,251700,Bachelors,13,Never-married,Exec-managerial,Unmarried,Black,Male,0,1902,40,United-States,>50K
83,33,Private,275095,HS-grad,9,Never-married,Handlers-cleaners,Unmarried,White,Male,0,0,40,United-States,<=50K
84,22,Private,196898,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,<=50K
85,32,Private,45595,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
86,27,Private,194668,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,36,United-States,<=50K
87,23,Private,145964,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
88,18,Private,198277,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
89,66,State-gov,185050,Some-college,10,Married-civ-spouse,Farming-fishing,Wife,White,Female,0,0,85,?,<=50K
90,36,Private,213321,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
91,35,Federal-gov,21044,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,7298,0,40,United-States,>50K
92,27,Private,125417,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Female,0,1902,40,United-States,<=50K
93,22,Private,146042,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
94,21,Private,236338,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,>50K
95,42,Private,194748,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45,United-States,<=50K
96,41,Federal-gov,225033,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,>50K
97,39,Federal-gov,341762,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,>50K
98,24,Private,183765,Some-college,10,Never-married,Transport-moving,Not-in-family,White,Male,0,0,50,United-States,<=50K
99,21,Private,33304,Some-college,10,Never-married,Transport-moving,Not-in-family,White,Male,0,0,30,United-States,<=50K
100,53,Self-emp-inc,203761,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,99999,0,40,United-States,>50K
101,37,Private,285020,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,15024,0,45,United-States,>50K
102,35,Private,217200,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
103,26,Private,250679,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,52,United-States,>50K
104,40,Private,236426,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,50,United-States,>50K
105,19,Private,189535,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,26,United-States,<=50K
106,41,State-gov,224469,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
107,28,Private,27678,Bachelors,13,Divorced,Tech-support,Not-in-family,White,Male,0,0,40,United-States,<=50K
108,19,State-gov,176101,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
109,23,Private,216941,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,60,United-States,<=50K
110,36,Private,221172,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
111,43,Private,998640,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
112,22,Private,177589,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,12,United-States,<=50K
113,34,Private,314649,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Male,0,0,40,?,>50K
114,36,Private,272090,Some-college,10,Divorced,Machine-op-inspct,Unmarried,White,Female,0,0,40,El-Salvador,<=50K
115,39,Private,404419,HS-grad,9,Married-civ-spouse,Prof-specialty,Wife,White,Female,99999,0,20,United-States,>50K
116,37,Federal-gov,181321,Assoc-voc,11,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,8,United-States,>50K
117,27,Private,182467,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,?,<=50K
118,25,Private,241998,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,32,United-States,<=50K
119,30,Private,147099,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
120,55,Federal-gov,48796,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,30,United-States,>50K
121,37,Local-gov,128016,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,55,United-States,>50K
122,55,Private,124187,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Female,0,0,40,United-States,<=50K
123,41,Local-gov,201603,Doctorate,16,Never-married,Exec-managerial,Not-in-family,White,Female,0,2444,40,United-States,>50K
124,40,Private,111939,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,Black,Male,0,0,50,United-States,<=50K
125,44,Self-emp-not-inc,854210,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K
126,25,Private,180985,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
127,41,Private,186815,HS-grad,9,Separated,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
128,26,Private,184556,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,45,United-States,>50K
129,28,Private,454853,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,2001,55,United-States,<=50K
130,41,Federal-gov,225014,Some-college,10,Divorced,Prof-specialty,Unmarried,Black,Male,0,0,35,United-States,<=50K
131,27,Private,61885,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
132,47,Private,181493,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
133,55,Private,182451,Bachelors,13,Separated,Craft-repair,Not-in-family,White,Female,0,0,50,United-States,<=50K
134,31,Private,129513,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,60,United-States,<=50K
135,23,Private,96016,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,30,United-States,<=50K
136,70,Private,116901,7th-8th,4,Widowed,Craft-repair,Not-in-family,White,Male,0,0,30,United-States,<=50K
137,46,State-gov,106950,HS-grad,9,Separated,Transport-moving,Not-in-family,White,Male,0,0,60,United-States,>50K
138,24,Local-gov,285892,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,60,United-States,<=50K
139,56,Local-gov,68625,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,<=50K
140,40,Private,146325,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,0,0,60,United-States,<=50K
141,29,Local-gov,110643,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,44,United-States,>50K
142,40,Private,222548,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,45,United-States,<=50K
143,26,Local-gov,195488,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
144,53,Federal-gov,192835,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
145,34,Local-gov,262978,Assoc-voc,11,Never-married,Craft-repair,Not-in-family,White,Male,0,0,45,United-States,<=50K
146,44,Self-emp-not-inc,276540,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1977,50,United-States,>50K
147,75,Self-emp-not-inc,339168,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,>50K
148,26,Federal-gov,120844,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,40,Puerto-Rico,<=50K
149,41,Private,149368,Assoc-acdm,12,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
150,33,Private,34007,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,2425,0,40,United-States,<=50K
151,49,Private,238369,HS-grad,9,Never-married,Tech-support,Not-in-family,White,Female,0,0,40,United-States,<=50K
152,27,Private,37517,Some-college,10,Never-married,Tech-support,Not-in-family,White,Female,0,0,40,United-States,<=50K
153,39,Private,120283,Some-college,10,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,30,United-States,<=50K
154,19,Private,74629,10th,6,Never-married,Transport-moving,Own-child,Asian-Pac-Islander,Male,0,0,40,Philippines,<=50K
155,23,Private,78628,Some-college,10,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,45,United-States,<=50K
156,46,Private,34060,Some-college,10,Never-married,Tech-support,Not-in-family,White,Female,0,2354,40,United-States,<=50K
157,30,Private,201732,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,Black,Female,0,0,38,United-States,<=50K
158,50,Self-emp-inc,83893,Some-college,10,Married-civ-spouse,Tech-support,Husband,Black,Male,0,0,40,United-States,>50K
159,36,State-gov,141583,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
160,25,Private,352685,Assoc-voc,11,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,35,El-Salvador,<=50K
161,28,Private,204752,Bachelors,13,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K
162,61,Private,32776,9th,5,Married-spouse-absent,Machine-op-inspct,Not-in-family,White,Male,0,0,70,United-States,<=50K
163,48,Private,302149,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,2415,55,Philippines,>50K
164,80,Self-emp-not-inc,92060,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,42,Cuba,<=50K
165,41,Self-emp-not-inc,97304,Some-college,10,Never-married,Protective-serv,Not-in-family,Black,Male,0,0,40,?,<=50K
166,30,Self-emp-inc,44434,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,50,United-States,>50K
167,49,Self-emp-not-inc,210844,Bachelors,13,Never-married,Adm-clerical,Not-in-family,Other,Male,0,0,40,Puerto-Rico,<=50K
168,27,Private,193047,9th,5,Married-civ-spouse,?,Wife,White,Female,0,0,30,United-States,>50K
169,58,?,36376,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,>50K
170,69,?,36327,11th,7,Divorced,?,Not-in-family,White,Male,0,0,50,United-States,<=50K
171,62,?,22245,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,0,0,60,United-States,<=50K
172,37,Self-emp-not-inc,22245,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
173,22,Private,231495,HS-grad,9,Never-married,Craft-repair,Own-child,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K
174,65,Self-emp-not-inc,101432,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,0,50,United-States,>50K
175,33,Private,180985,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,42,?,<=50K
176,38,Private,175266,HS-grad,9,Never-married,Sales,Unmarried,White,Female,0,0,30,United-States,<=50K
177,45,?,181755,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K
178,49,Private,373582,Bachelors,13,Separated,Exec-managerial,Unmarried,White,Male,0,0,35,Mexico,<=50K
179,52,Private,315423,Assoc-voc,11,Divorced,Other-service,Other-relative,Black,Female,0,0,25,United-States,<=50K
180,39,Private,231962,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,99999,0,45,United-States,>50K
181,48,Private,362883,Some-college,10,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
182,58,Private,209384,Assoc-voc,11,Widowed,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
183,32,Private,318813,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0,0,30,United-States,<=50K
184,18,Private,101345,7th-8th,4,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,<=50K
185,22,Private,124589,11th,7,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
186,30,Private,199590,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,45,United-States,<=50K
187,42,Private,201446,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
188,40,Private,186078,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
189,25,Private,198425,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
190,25,Private,263307,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,?,<=50K
191,42,Private,170095,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
192,41,Private,99146,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,60,United-States,<=50K
193,47,Private,104808,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7688,0,40,United-States,>50K
194,26,Private,421776,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,50,United-States,>50K
195,31,Private,119098,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,>50K
196,22,Private,321856,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
197,54,?,421561,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
198,33,Private,123327,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Wife,Black,Female,0,0,40,United-States,>50K
199,42,Private,108435,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,United-States,>50K
200,47,Private,374037,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
201,38,Private,346034,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,7688,0,16,United-States,>50K
202,44,Private,159755,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K
203,42,Local-gov,173524,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K
204,39,Private,180268,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,99999,0,60,United-States,>50K
205,24,Private,114813,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,38,United-States,<=50K
206,58,Federal-gov,112158,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,20,United-States,>50K
207,23,Private,197332,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,1602,55,United-States,<=50K
208,47,Private,109282,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,8614,0,50,United-States,>50K
209,28,Private,183726,Masters,14,Never-married,Prof-specialty,Not-in-family,Black,Male,0,0,60,United-States,<=50K
210,25,Private,334113,Some-college,10,Married-civ-spouse,Craft-repair,Wife,White,Female,99999,0,75,United-States,>50K
211,51,Self-emp-inc,115784,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,<=50K
212,53,Federal-gov,149184,HS-grad,9,Widowed,Craft-repair,Unmarried,White,Female,0,0,35,United-States,<=50K
213,54,Private,50748,Some-college,10,Divorced,Farming-fishing,Not-in-family,White,Male,0,0,50,United-States,>50K
214,46,Private,173858,HS-grad,9,Divorced,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,0,0,45,India,<=50K
215,37,Local-gov,246936,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,<=50K
216,19,Local-gov,163708,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,7688,0,30,United-States,>50K
217,22,Private,138597,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,30,United-States,<=50K
218,29,State-gov,30289,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,45,United-States,>50K
219,23,Private,116381,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,1590,40,United-States,<=50K
220,43,Self-emp-inc,174975,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Other,Male,0,0,70,United-States,<=50K
221,35,Local-gov,238384,HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
222,62,Federal-gov,117881,HS-grad,9,Widowed,Craft-repair,Not-in-family,White,Female,0,0,40,United-States,<=50K
223,59,Local-gov,106910,Assoc-voc,11,Widowed,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,0,0,40,Philippines,<=50K
224,44,Self-emp-not-inc,149725,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,50,United-States,>50K
225,57,Self-emp-not-inc,116608,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
226,31,Self-emp-not-inc,93930,Assoc-voc,11,Never-married,Craft-repair,Own-child,Black,Male,0,0,30,United-States,<=50K
227,44,Local-gov,116358,Bachelors,13,Divorced,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,43,Philippines,<=50K
228,63,Self-emp-not-inc,180899,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
